,Agebins,Cause of Death,count
0,0,Alzheimer's,0.0
1,0,COPD,0.0
2,0,Car Accident,0.9158263919333626
3,0,Covid-19,0.024550635686102586
4,0,Dementia,0.0
5,0,Drug Overdose,0.0131521262604121
6,0,Heart Attack,0.0035072336694432268
7,0,Heart Disease,0.00043840420868040335
8,0,Heart Failure,0.00263042525208242
9,0,Lung Cancer/Tumor,0.00043840420868040335
10,0,Shot,0.03682595352915388
11,0,Stroke,0.00263042525208242
12,0,Suicide,0.0
13,5,Alzheimer's,0.0
14,5,COPD,0.0
15,5,Car Accident,0.0
16,5,Covid-19,0.053406998158379376
17,5,Dementia,0.0
18,5,Drug Overdose,0.09852670349907919
19,5,Heart Attack,0.0027624309392265192
20,5,Heart Disease,0.0027624309392265192
21,5,Heart Failure,0.0027624309392265192
22,5,Lung Cancer/Tumor,0.004604051565377533
23,5,Shot,0.3996316758747698
24,5,Stroke,0.001841620626151013
25,5,Suicide,0.43370165745856354
26,15,Alzheimer's,0.0
27,15,COPD,6.150439756442585e-05
28,15,Car Accident,0.0
29,15,Covid-19,0.036287594563011255
30,15,Dementia,0.0
31,15,Drug Overdose,0.46183652131127373
32,15,Heart Attack,0.0031367242757857185
33,15,Heart Disease,0.0033212374684789964
34,15,Heart Failure,0.0017836275293683498
35,15,Lung Cancer/Tumor,0.0010455747585952396
36,15,Shot,0.36681222707423583
37,15,Stroke,0.001230087951288517
38,15,Suicide,0.12448490067039793
39,25,Alzheimer's,6.206168931918326e-05
40,25,COPD,0.0008378328058089741
41,25,Car Accident,0.0
42,25,Covid-19,0.07642897039657419
43,25,Dementia,3.103084465959163e-05
44,25,Drug Overdose,0.6132315521628499
45,25,Heart Attack,0.014025941786135419
46,25,Heart Disease,0.019332216222925587
47,25,Heart Failure,0.0047166883882579285
48,25,Lung Cancer/Tumor,0.004530503320300378
49,25,Shot,0.16849748650158258
50,25,Stroke,0.0031030844659591635
51,25,Suicide,0.09520263141562714
52,35,Alzheimer's,0.00018592791309198119
53,35,COPD,0.0077027278280963635
54,35,Car Accident,0.0
55,35,Covid-19,0.17583468352413079
56,35,Dementia,0.000265611304417116
57,35,Drug Overdose,0.479003426385827
58,35,Heart Attack,0.0572392361018885
59,35,Heart Disease,0.08743924141411459
60,35,Heart Failure,0.013227442959972377
61,35,Lung Cancer/Tumor,0.02377221174533188
62,35,Shot,0.07928497436850912
63,35,Stroke,0.010491646524476081
64,35,Suicide,0.06555286993014423
65,45,Alzheimer's,0.001554814692998849
66,45,COPD,0.03963282453019181
67,45,Car Accident,0.0
68,45,Covid-19,0.2705527067230785
69,45,Dementia,0.0013305625738163226
70,45,Drug Overdose,0.21205280389899683
71,45,Heart Attack,0.10876227780352524
72,45,Heart Disease,0.18130036328843308
73,45,Heart Failure,0.02084049694269611
74,45,Lung Cancer/Tumor,0.08928224371720313
75,45,Shot,0.02199165782116641
76,45,Stroke,0.02284381587406001
77,45,Suicide,0.029855432133833664
78,55,Alzheimer's,0.00910083054327519
79,55,COPD,0.09015124889784996
80,55,Car Accident,0.0
81,55,Covid-19,0.2721431962659465
82,55,Dementia,0.007337390478656826
83,55,Drug Overdose,0.06410659563579413
84,55,Heart Attack,0.11139268603984388
85,55,Heart Disease,0.20338753136888577
86,55,Heart Failure,0.02515676735539483
87,55,Lung Cancer/Tumor,0.17343987964213264
88,55,Shot,0.004846377240524592
89,55,Stroke,0.03049641454406442
90,55,Suicide,0.008441081987631256
91,65,Alzheimer's,0.038771701504841216
92,65,COPD,0.11372752565634052
93,65,Car Accident,0.0
94,65,Covid-19,0.2900034730040722
95,65,Dementia,0.02904729010270169
96,65,Drug Overdose,0.008381007629159495
97,65,Heart Attack,0.09132474114670198
98,65,Heart Disease,0.18700791157960622
99,65,Heart Failure,0.03353929646860366
100,65,Lung Cancer/Tumor,0.16887577713236726
101,65,Shot,0.0009541219978551337
102,65,Stroke,0.03623373699054656
103,65,Suicide,0.0021334167872040792
104,75,Alzheimer's,0.11039886239261451
105,75,COPD,0.10436372084951055
106,75,Car Accident,0.0
107,75,Covid-19,0.2699970048230746
108,75,Dementia,0.08014757544626737
109,75,Drug Overdose,0.000817375385244135
110,75,Heart Attack,0.06803530389848869
111,75,Heart Disease,0.17150327090115636
112,75,Heart Failure,0.046822733112940565
113,75,Lung Cancer/Tumor,0.10368630700283563
114,75,Shot,0.0003275100002519308
115,75,Stroke,0.04327610772559701
116,75,Suicide,0.0006242284620186373
117,85,Alzheimer's,0.16743011199366567
118,85,COPD,0.06867383552516024
119,85,Car Accident,0.0
120,85,Covid-19,0.2288021947078323
121,85,Dementia,0.1435899866455151
122,85,Drug Overdose,0.000295527223354457
123,85,Heart Attack,0.052503478020859765
124,85,Heart Disease,0.18358931752727353
125,85,Heart Failure,0.06961617704868672
126,85,Lung Cancer/Tumor,0.03660076781318219
127,85,Shot,7.806379484834714e-05
128,85,Stroke,0.04853616444695983
129,85,Suicide,0.000284375252661836
130,95,Alzheimer's,0.18435870698644422
131,95,COPD,0.04564650677789364
132,95,Car Accident,0.0
133,95,Covid-19,0.1963242961418144
134,95,Dementia,0.18373305526590197
135,95,Drug Overdose,9.124087591240875e-05
136,95,Heart Attack,0.04550312825860271
137,95,Heart Disease,0.2022679874869656
138,95,Heart Failure,0.08420229405630865
139,95,Lung Cancer/Tumor,0.012122002085505736
140,95,Shot,2.6068821689259645e-05
141,95,Stroke,0.04564650677789364
142,95,Suicide,7.820646506777894e-05
143,105,Alzheimer's,0.15974842767295597
144,105,COPD,0.03647798742138365
145,105,Car Accident,0.0
146,105,Covid-19,0.17358490566037735
147,105,Dementia,0.2238993710691824
148,105,Drug Overdose,0.0
149,105,Heart Attack,0.04905660377358491
150,105,Heart Disease,0.23773584905660378
151,105,Heart Failure,0.0830188679245283
152,105,Lung Cancer/Tumor,0.006289308176100629
153,105,Shot,0.0
154,105,Stroke,0.03018867924528302
155,105,Suicide,0.0
